cust_id,cust_firstname,cust_lastname
80,Taruna,Kumari
81,Shiya,Sonkar
82,Jaynath,Maurrya
83,Arzoo,Sonkar
84,Syeda,Vishwakarma
85,Srividya,Srivastav
86,Dileshwar,Maurrya
87,Dristi,Mishra
88,Om,Sonkar
89,Ratna,Gupta
90,Deepanwita,Kumari
91,Manasi,Pandey
92,Chitkala,Gupta
93,Srj,Vishwakarma
94,Jahur,Rao
95,Balika,Sonkar
96,Tejal,Sonkar
97,Kajal,Singh Kumari
98,Chintan,Maurrya
99,Swarnali,Mishra
100,Harish,Singh Yadav
101,Chandana,Sonkar
102,Sanjiv,Kumar Divedi
103,Satosh,Pandey
104,Anku,Tiwari
105,Rampukar,Mishra
106,Jenifa,Thakur
107,Shree,Ram Pandey
108,Bisal,Kumar
109,Damayanti,Sonkar
110,Md,Yusuf Divedi
111,Harneet,Thakur
112,Amiya,Rajput
113,Makunda,Tiwari
114,Junaid,Rao
115,Shasank,Maurrya
116,Suniti,Kumari
117,Sanjaykumar,Pandey
118,Nashim,Yadav
119,Litan,Vishwakarma
120,Stuti,Singh
121,Jwala,Thakur
122,Arbaaz,Rajput
123,Laxmipriya,Tiwari
124,Gopi,Seth
125,Karpagam,Kumari
126,Jina,Mishra
127,Abhi,Singh
128,Kumud,Devi
129,Priyambada,Rao
130,Minhaj,Srivastav
131,Harshi,Yadav
132,Munni,Vishwakarma
133,Amita,Gupta
134,Rajeswari,Rajput
135,Lal,Babu Gupta
136,Pui,Sonkar
137,Tanushree,Thakur
138,Divya,Yadav
139,Dinesha,Yadav
140,Neeshu,Divedi
141,Chanakya,Devi
142,Gunjan,Maurya
143,Jinu,Tiwari
144,Pritesh,Vishwakarma
145,Ashoksinh,Rajput
146,Pankaj,Sharma Sonkar
147,Dandapaani,Rai
148,Josim,Pandey
149,Devam,Pratap
150,Harshala,Srivastav
151,Bittu,Kumar Vishwakarma
152,Switi,Tiwari
153,Adesh,Tiwari
154,Nishar,Thakur
155,Suprakash,Rai
156,Shikha,Maurya
157,Raju,Das Gupta
158,Rupinder,Maurya
159,Shyamoli,Rai
160,Sivaraj,Pandit
161,Jothimani,Kumar
162,Amrendra,Rajput
163,Remruati,Sonkar
164,Suhas,Gupta
165,Heera,Lal Thakur
166,Akashay,Singh
167,Navya,Kumari
168,Rathi,Rai
169,Samim,Mishra
170,Simha,Kumari
171,Ramsundar,Kumar
172,Aaysha,Gupta
173,Sopna,Kumari
174,Rø,Vishwakarma
175,Lakhmi,Maurya
176,Rambhai,Srivastav
177,Pournima,Thakur
178,Lata,Tiwari
179,Trinath,Sonkar
180,Aashima,Divedi
181,Asab,Srivastav
182,Bhagvati,Divedi
183,Mithlesh,Kumar Srivastav
184,Raghul,Maurrya
185,Anita,Kumari Vishwakarma
186,Papari,Rao
187,शेख,Vishwakarma
188,Gauri,Mishra
189,Najmin,Tiwari
190,जितेन्द्र,Rajput
191,Sahid,Khan Pandey
192,Ramdhari,Rai
193,Deenanath,Pratap
194,Kalpit,Divedi
195,Sarpanch,Vishwakarma
196,Hriata,Vishwakarma
197,Chena,Srivastav
198,Gangappa,Seth
199,सतिश,Vishwakarma
200,Nihal,Singh
201,Zainul,Srivastav
202,Sujoy,Kumar
203,Jackey,Rao
204,Saibabu,Tiwari
205,Hema,Maurya
206,Mittu,Seth
207,Aish,Singh
208,Banu,Gupta
209,Praveena,Tiwari
210,Bhimaram,Tiwari
211,Misti,Tiwari
212,Suneeta,Singh
213,रामू,Thakur
214,Atithi,Srivastav
215,Hridesh,Pandey
216,शाम,Rai
217,Promad,Gupta
218,Call,Srivastav
219,Sarwar,Yadav
220,Debashish,Mishra
221,Karambir,Mishra
222,M.,D Rai
223,Makvana,Seth
224,Yogeshwari,Rajput
225,Siuli,Gupta
226,Sanjay,Sharma Gupta
227,Rajkumari,Singh
228,Parsu,Srivastav
229,Vishnukant,Rao
230,Chitraksh,Singh
231,Mitali,Singh
232,Divyendu,Divedi
233,Paankhi,Sonkar
234,Adity,Yadav
235,Zoa,Sonkar
236,Daksh,Divedi
237,Kuki,Srivastav
238,Dharitri,Divedi
239,Bedanta,Rao
240,Aliza,Srivastav
241,Mahadeo,Sonkar
242,Narasimha,Rao Seth
243,Sarojit,Mishra
244,Shruti,Mishra
245,Sushanta,Kumar Kumar
246,Shivika,Sonkar
247,Rajeshree,Gupta
248,सौरभ,Divedi
249,Amarsing,Vishwakarma
250,Anjushree,Srivastav
251,Nikka,Seth
252,Yakoob,Singh
253,Manjul,Gupta
254,Arif,Pratap
255,Sahera,Yadav
256,Rimpu,Pandey
257,Shakti,Rai
258,Shubu,Thakur
259,Hadiyal,Vishwakarma
260,Rajlaxmi,Seth
261,Sutha,Maurrya
262,Sita,Ram Pandey
263,Siddh,Pandey
264,Rinku,Singh Rai
265,Bratindra,Rai
266,Assu,Kumar
267,Priyadarsini,Divedi
268,Rafikul,Pandit
269,Nani,Divedi
270,Deepesh,Tiwari
271,Jesi,Divedi
272,Yogesha,Srivastav
273,Ramjanam,Pandit
274,Ajith,Kumar Yadav
275,जावेद,Mishra
276,Charuvrat,Gupta
277,Lakan,Rao
278,Basanti,Gupta
279,Aasiya,Vishwakarma
280,Shaba,Kumar
281,Banavath,Mishra
282,Abhijeet,Pandit
283,Omm,Maurya
284,Ramamurthy,Sonkar
285,Shahina,Rao
286,Gulap,Rai
287,Shehnaz,Tiwari
288,उमेश,Divedi
289,Vikarm,Pratap
290,Anusuya,Gupta
291,Jaya,Sonkar
292,Jahnavi,Kumari
293,Tahira,Devi
294,Braja,Singh
295,Tanusree,Srivastav
296,Runali,Seth
297,Tulsi,Sonkar
298,Pawana,Singh
299,Machhar,Thakur
300,Anant,Kumar Pandey
301,Sejal,Singh
302,Chotu,Kumar Yadav
303,Heena,Rao
304,Gambheera,Tiwari
305,Shaista,Pandey
306,Tluangtea,Gupta
307,Naba,Thakur
308,Srinuvas,Thakur
309,Pradnya,Gupta
310,Durgadas,Rai
311,Sangita,Maurya
312,Namadev,Gupta
313,Songita,Tiwari
314,Farjana,Seth
315,Maku,Rai
316,Jamini,Rai
317,Debalina,Srivastav
318,Yanger,Thakur
319,Jot,Singh
320,Jampa,Kumar
321,Chatur,Maurrya
322,Ravinder,Singh Rajput
323,Shouvik,Tiwari
324,Neeroo,Rai
325,Priyaranjan,Seth
326,Ripa,Kumari
327,Shamita,Kumari
328,Bholenath,Maurrya
329,Saidul,Thakur
330,Sravan,Divedi
331,Koteswarao,Rai
332,Kasu,Rai
333,Aneri,Sonkar
334,Rokey,Divedi
335,Daval,Rao
336,Bhooshit,Mishra
337,Taufeeq,Rajput
338,Zeeshan,Thakur
339,Jagdev,Pandit
340,Roji,Pandey
341,Rajput,Srivastav
342,Azarudeen,Mishra
343,Prasant,Pratap
344,Puspanjali,Thakur
345,Archna,Thakur
346,Msi,Divedi
347,Rimpy,Gupta
348,Arti,Rao
349,Ashraful,Pandey
350,Shubhash,Thakur
351,Mohidur,Tiwari
352,Nikita,Rajput
353,धनाराम,Srivastav
354,Moumita,Thakur
355,Vaani,Thakur
356,Ramanbhai,Kumari
357,Rumi,Sonkar
358,Pushplata,Rao
359,Prince,Raj Yadav
360,भीम,Srivastav
361,Bhagabati,Singh
362,Harit,Mishra
363,Tisha,Yadav
364,Gaman,Mishra
365,Rajath,Devi
366,Amite,Seth
367,Rajbir,Sonkar
368,Paramjeet,Devi
369,Parbu,Rai
370,Jibon,Pandit
371,Alagar,Pandey
372,पांडुरंग,Singh
373,Kadambini,Maurya
374,Akshatha,Srivastav
375,Hari,Singh Singh
376,Karmjeet,Maurrya
377,Menu,Maurya
378,Payal,Pandey
379,Dandak,Vishwakarma
380,Devangana,Seth
381,Gangaadhar,Gupta
382,Daram,Rao
383,Hetu,Rao
384,Shamala,Singh
385,Shimpi,Sonkar
386,Palvi,Rajput
387,Shaina,Pandey
388,Ponam,Yadav
389,Sendy,Yadav
390,Pranoti,Yadav
391,Kothapalli,Vishwakarma
392,Riya,Singh Pratap
393,Jayalakshmi,Seth
394,Fenil,Rajput
395,Poritosh,Rajput
396,Jahnabi,Rajput
397,Srinidhi,Rao
398,Ranjeet,Singh Yadav
399,Govind,Singh Singh
400,Parray,Pandey
401,अनिकेत,Pandey
402,Kantha,Thakur
403,Tejpratap,Srivastav
404,Pappu,Kumar Divedi
405,Prdip,Rao
406,Shraban,Sonkar
407,Rohitash,Yadav
408,Gaju,Sonkar
409,Sapana,Thakur
410,Saifi,Pandit
411,Kanagu,Pandit
412,Jyoti,Singh Pratap
413,Tanaya,Seth
414,Anaya,Mishra
415,Rajiya,Kumari
416,Gour,Rai
417,Kishori,Singh
418,Ananth,Devi
419,Nijwm,Pandey
420,Krishn,Mishra
421,Bhagyashri,Rajput
422,Pramodh,Pandit
423,Sulendar,Gupta
424,Safik,Srivastav
425,Shiv,Singh Rao
426,Chandramadhav,Gupta
427,Chintamani,Mishra
428,Lovely,Boy Pandit
429,Babarao,Srivastav
430,Intzar,Divedi
431,Harika,Rai
432,Mrudula,Pratap
433,Sumaira,Thakur
434,Dibya,Jyoti Thakur
435,Chakresh,Pandit
436,Shafikul,Yadav
437,Yashi,Singh
438,Anindita,Srivastav
439,Subhodip,Thakur
440,Sanat,Kumar Rao
441,Rambhai,Maurrya
442,Jabbar,Srivastav
443,Labani,Tiwari
444,Gajendrasinh,Pratap
445,Jalim,Pandey
446,Rafiya,Rajput
447,Chandranath,Pandey
448,Sannu,Seth
449,Santhi,Pratap
450,Purnima,Mishra
451,Kashi,Vishwakarma
452,Priya,Maurya
453,Rajkapoor,Gupta
454,Harsha,Devi
455,Alpa,Vishwakarma
456,Gangaaraam,Rao
457,Khusbhu,Seth
458,Vilesh,Divedi
459,Naresh,Singh Pandit
460,Kanak,Thakur
461,Shriram,Mishra
462,Ansuya,Seth
463,Divya,Divedi
464,Debalina,Seth
465,Buddhadev,Yadav
466,Jayalaksmi,Sonkar
467,Kalesh,Divedi
468,Rambalak,Kumari
469,Sorya,Yadav
470,Netaji,Pratap
471,Rajeshree,Gupta
472,Riyaz,Rai
473,Sanjay,Patel Pandey
474,सूरेश,Rai
475,Kimkimi,Vishwakarma
476,Sna,Gupta
477,Sohit,Sonkar
478,Basudev,Rajput
479,Menu,Gupta
480,Bhagwan,Singh Rajput
481,Suren,Pandit
482,Akaash,Seth
483,Ruatfela,Thakur
484,Lovey,Singh
485,Tanaya,Mishra
486,Ashoksinh,Rajput
487,Jaganathan,Kumari
488,Rajal,Thakur
489,Bithika,Yadav
490,Rupu,Pandit
491,Pm,Gupta
492,Kareena,Maurya
493,Absar,Gupta
494,Khairul,Mishra
495,Vajay,Devi
496,Md,Faizan Rajput
497,Khusbhu,Vishwakarma
498,Rambharosh,Pandey
499,Dilip,Raj Pandit
500,Vithal,Rao
501,Ratna,Gupta
502,Srabanti,Rao
503,Kamli,Maurrya
504,Vengadesh,Divedi
505,Deepshika,Divedi
506,Latha,Rajput
507,Md,Islam Rajput
508,Rayka,Rajput
509,हरिओम,Seth
510,Muneeswaran,Vishwakarma
511,Nirupa,Singh
512,Simpi,Maurya
513,Vaishvi,Rai
514,Sukh,Srivastav
515,Saku,Tiwari
516,Saim,Kumari
517,Ayushmaan,Yadav
518,Korim,Rao
519,Hero,Pandit
520,Urvisha,Rao
521,Dhamendra,Pratap
522,Heer,Tiwari
523,Azaad,Thakur
524,Neerj,Rajput
525,Dhara,Singh Vishwakarma
526,Naziya,Sonkar
527,Lalbabu,Seth
528,Aarzu,Kumari
529,Bhagwat,Rajput
530,Dhanjay,Thakur
531,Panja,Sonkar
532,Pandian,Yadav
533,Budhia,Srivastav
534,Kanan,Mishra
535,Neelam,Kumari
536,Guru,Singh
537,Manoher,Kumar
538,Anisha,Pandey
539,Kailash,Kumar Divedi
540,Deepta,Maurya
541,Riyana,Rajput
542,Sharavan,Tiwari
543,Kadambari,Yadav
544,Jeetram,Thakur
545,Aakanksha,Vishwakarma
546,Taslima,Singh
547,Insiya,Rajput
548,Shaziya,Thakur
549,Minal,Kumari
550,Parthivi,Rajput
551,Sumair,Vishwakarma
552,Priyanka,Kumari Divedi
553,Tubai,Mishra
554,Anvesh,Rajput
555,Gourinandan,Seth
556,Adhiraj,Pandey
557,Shyamali,Singh
558,Shuchita,Tiwari
559,Mugunthan,Devi
560,Chanchan,Tiwari
561,Dhanesh,Rao
562,Saroop,Sonkar
563,Soudamini,Gupta
564,Balkar,Maurrya
565,Neet,Maurya
566,Minhaj,Kumar
567,Mehandi,Mishra
568,Nirdosh,Seth
569,Kajim,Rao
570,Mayaram,Sonkar
571,Avdhut,Devi
572,Vishan,Divedi
573,Kishori,Divedi
574,Dristi,Vishwakarma
575,Kani,Pandey
576,Furkaan,Rajput
577,Zeshan,Srivastav
578,Mohor,Rajput
579,Kalpita,Singh
580,Havya,Devi
581,Cb,Vishwakarma
582,Mursaleen,Singh
583,Shahid,Rai
584,Ankit,Yadav Pratap
585,Athira,Rai
586,Emolic,Rai
587,Shanvi,Sonkar
588,Seeta,Pandey
589,Prashanthi,Mishra
590,Sathiyaraj,Srivastav
591,Neerja,Pandey
592,Rajanikant,Singh
593,Sharma,Maurrya
594,Avika,Singh
595,Gitali,Pandit
596,Tanushri,Thakur
597,Saraj,Mishra
598,Deepu,Kumar Divedi
599,Sreedhar,Srivastav
600,Puspha,Yadav
601,Dhanam,Pandey
602,Bhuvan,Srivastav
603,Yakub,Rao
604,Satyaveer,Rai
605,Sonali,Sonkar
606,Shantaram,Gupta
607,Pappusingh,Pandey
608,अनीता,Rao
609,Sravan,Kumar Sonkar
610,Rajkumar,Singh Gupta
611,Jenish,Maurrya
612,Ram,Mohan Pratap
613,Manvendra,Maurrya
614,Right,Thakur
615,Tarsem,Srivastav
616,Neeta,Yadav
617,Debanand,Pratap
618,Pathan,Kumar
619,Gazala,Yadav
620,Nibedita,Mishra
621,Faizan,Khan Sonkar
622,Sattibabu,Sonkar
623,Dishita,Maurya
624,Nitumoni,Seth
625,Gauri,Srivastav
626,Santoah,Rai
627,Sane,Vishwakarma
628,Satyprakash,Kumar
629,Sahera,Divedi
630,Shoiab,Rao
631,Bhagirth,Pandey
632,Karni,Yadav
633,Lalrin,Rao
634,Teetu,Divedi
635,Dilipbhai,Yadav
636,Chitrabhanu,Vishwakarma
637,Altaf,Divedi
638,Manjeet,Kumar Tiwari
639,Dhaneshwar,Singh
640,Sumita,Rajput
641,Dwarka,Yadav
642,Tejashri,Rao
643,Hemali,Vishwakarma
644,Navneet,Kumar Rai
645,Zahid,Pandey
646,Doyel,Tiwari
647,Rishu,Rajput
648,Phool,Rajput
649,Amar,Kumar Rai
650,Mangla,Maurrya
651,Nitin,Kumar Rao
652,Jawahar,Thakur
653,Vara,Prasad Rajput
654,Tabish,Divedi
655,Aadya,Gupta
656,Tannu,Maurya
657,Ekaparnika,Gupta
658,Manjari,Mishra
659,Devdas,Singh
660,Shakar,Srivastav
661,Huma,Devi
662,Arka,Rai
663,Dev,Mishra
664,Arti,Kumari
665,अभिजीत,Rao
666,Rajeshri,Srivastav
667,Satendra,Singh Gupta
668,Intzar,Pandit
669,Bivash,Maurrya
670,Anandamayi,Pandey
671,Tirthraj,Pratap
672,Hanuman,Ram Divedi
673,Revanth,Pandit
674,Jio,Kumar
675,Mitesha,Rai
676,Anubhav,Gupta
677,Hemanta,Kumar Devi
678,Bisma,Gupta
679,Simran,Kumari
680,Jeet,Rajput
681,Umar,Rao
682,Bhanuprasad,Singh
683,Nguri,Rao
684,Labh,Kumar
685,Harsita,Singh
686,राजकुमार,Tiwari
687,Lone,Divedi
688,Piryanka,Vishwakarma
689,Md,Kasim Pratap
690,Aamir,Maurya
691,Madhuresh,Yadav
692,Muneer,Pandey
693,Tathagata,Mishra
694,Tailor,Sonkar
695,Saheli,Tiwari
696,Khadeer,Gupta
697,Sweetu,Vishwakarma
698,Abhimanyu,Kumar Thakur
699,Arpana,Pandey
700,Pushpalatha,Seth
701,Satyam,Kumar Pandit
702,राधे,Srivastav
703,Hitash,Kumar
704,Dev,Pratap
705,Sangit,Devi
706,Brijendra,Kumari
707,Mabiaki,Pandey
708,Dharmu,Singh
709,Ansar,Yadav
710,Baljeet,Singh Pandit
711,Krishna,Prasad Vishwakarma
712,Arulkumar,Singh
713,Triveni,Seth
714,Nabanita,Vishwakarma
715,Avik,Sonkar
716,Perm,Pandey
717,Dinesha,Yadav
718,Ajayraj,Sonkar
719,Sant,Lal Thakur
720,Prajna,Seth
721,Anbalagan,Mishra
722,Veru,Rajput
723,Ujala,Devi
724,Shaina,Yadav
725,Moonmoon,Mishra
726,Sheelu,Seth
727,Madhavi,Devi
728,Bindash,Singh
729,Manoj,Yadav Vishwakarma
730,Babban,Maurya
731,Adrika,Maurya
732,कुंवर,Rajput
733,Bhanu,Pratap Rajput
734,Amutha,Srivastav
735,Amaravathi,Pandey
736,Runjun,Yadav
737,Sapna,Pandey
738,Dpk,Gupta
739,Sachidanand,Mishra
740,Motibur,Singh
741,Balaraju,Tiwari
742,Mariyappan,Pandey
743,Santonu,Vishwakarma
744,Ramen,Rai
745,Tejendra,Devi
746,राहूल,Tiwari
747,Prajyot,Mishra
748,Surbi,Tiwari
749,Moirangthem,Rajput
750,Surandra,Kumar
751,Anjaly,Gupta
752,Kabil,Srivastav
753,Adishree,Thakur
754,Jashoda,Thakur
755,Rajindar,Tiwari
756,Malde,Devi
757,Prameela,Thakur
758,Karan,Raj Mishra
759,Charanpal,Rao
760,Prajyot,Kumar
761,Sanjya,Thakur
762,Rashmi,Rao
763,Lekha,Rai
764,Alagesan,Yadav
765,Ratika,Maurya
766,Topon,Sonkar
767,Divyanka,Rajput
768,Guria,Srivastav
769,Mahuya,Sonkar
770,Rakesh,Srivastav
771,Jenis,Singh
772,P,S Singh
773,Nagarani,Sonkar
774,Md,Arif Srivastav
775,Abhay,Kumar Pandit
776,Parul,Seth
777,Biju,Mishra
778,Yogesha,Pratap
779,Divyaraj,Pandit
780,Emiway,Mishra
781,Maloth,Srivastav
782,Makkhan,Mishra
783,Parteek,Sonkar
784,Samir,Pandit
785,Rashika,Gupta
786,Sitaram,Mishra
787,Mrunal,Mishra
788,Hmangaihi,Tiwari
789,Yallu,Yadav
790,Sudalai,Yadav
791,Jogendra,Rajput
792,Aswin,Pandey
793,Kaji,Thakur
794,Dharmendara,Srivastav
795,Bhuraram,Singh
796,Pushapa,Tiwari
797,Anmol,Tiwari
798,Narasimharao,Rai
799,Pallu,Thakur
800,Kaavya,Rai
801,Parinita,Vishwakarma
802,Yatin,Kumar
803,Sehnaz,Sonkar
804,Satya,Ranjan Singh
805,Zaffar,Tiwari
806,Farooq,Devi
807,Pitambar,Yadav
808,Siya,Seth
809,Priyaranjan,Maurrya
810,Ashika,Srivastav
811,Shaki,Sonkar
812,Arjunan,Seth
813,Sajeevan,Kumar
814,Srihari,Mishra
815,Jagdish,Prasad Rao
816,Pariniti,Pandey
817,Deepika,Thakur
818,Nagendr,Sonkar
819,Rajyalakshmi,Seth
820,Hareram,Vishwakarma
821,Dipamoni,Rajput
822,Mahla,Rajput
823,Tukai,Srivastav
824,Akhil,Maurrya
825,Bhagwansingh,Maurya
826,Brunda,Thakur
827,Sreedhar,Pandit
828,Ganraj,Rao
829,Nilkanta,Thakur
830,Shahida,Pratap
831,Laksman,Yadav
832,Sawmtei,Kumari
833,Ravina,Maurya
834,Babasaheb,Yadav
835,Subra,Sonkar
836,Dasharath,Rai
837,Danger,Rajput
838,Remruati,Gupta
839,Md,Shahnawaz Rai
840,Zulekha,Gupta
841,Supritha,Tiwari
842,Gudakesha,Gupta
843,Suji,Pandey
844,Imtiyaj,Pandit
845,Sulagna,Rajput
846,Manwar,Vishwakarma
847,Gudiya,Kumari
848,Smran,Kumari
849,Surajit,Tiwari
850,Nathuram,Kumari
851,बळीराम,Yadav
852,Raku,Rao
853,Akriti,Divedi
854,Bajrang,Yadav
855,धनंजय,Pandey
856,Surendhar,Sonkar
857,Atabul,Kumari
858,Sain,Kumar
859,Nikita,Pandey
860,Kuttyma,Vishwakarma
861,Saziya,Thakur
862,Bhupender,Maurrya
863,Aklesh,Vishwakarma
864,Dolli,Maurya
865,Diljit,Gupta
866,Manmohan,Thakur
867,Rabinder,Sonkar
868,Sange,Maurya
869,Aftab,Alam Vishwakarma
870,Nathu,Gupta
871,Nawab,Divedi
872,ज्ञानेश्वर,Rajput
873,Cheenu,Rajput
874,Rahul,Saini Sonkar
875,Devappa,Yadav
876,Vishvas,Srivastav
877,रामजी,Thakur
878,Hashmukh,Singh
879,Sujal,Rao
880,Swarali,Rao
881,India,Maurya
882,Sohani,Mishra
883,विष्णु,Gupta
884,Radhesh,Sonkar
885,Siju,Sonkar
886,Savaliya,Singh
887,Nandita,Sonkar
888,Arvindbhai,Maurrya
889,Mamta,Rajput
890,Prudhvi,Rajput
891,Davraj,Rao
892,Manasa,Vishwakarma
893,Krina,Sonkar
894,Sulu,Rai
895,Saroj,Pratap
896,Shakh,Srivastav
897,Sanskriti,Rai
898,Swarali,Singh
899,Dnyaneshvar,Gupta
900,Monu,Seth
901,Afsa,Divedi
902,Daleep,Rai
903,Shaheena,Sonkar
904,Amzad,Pandey
905,Shafikul,Thakur
906,Revathi,Yadav
907,Rocky,Seth
908,Anima,Singh
909,Ansika,Rai
910,Bholanath,Pandey
911,Vishnupriya,Sonkar
912,Indu,Vishwakarma
913,Sharmistha,Mishra
914,Hamsini,Kumari
915,Munendra,Pandey
916,Zaheen,Pratap
917,Gowthami,Rao
918,Samanata,Tiwari
919,Nivetha,Mishra
920,Niral,Tiwari
921,Manan,Kumar
922,Shubo,Kumari
923,Gourav,Yadav
924,Bantee,Mishra
925,Suthan,Maurrya
926,Rajnarayan,Rai
927,Piyus,Singh
928,Shalim,Pandey
929,Adbul,Maurrya
930,Satham,Kumar
931,Sunali,Rajput
932,Sampada,Pandey
933,Rukshana,Gupta
934,Nawed,Thakur
935,Srinuvas,Pandit
936,Cutee,Vishwakarma
937,Sohail,Khan Pratap
938,Bhaswati,Tiwari
939,Sampada,Sonkar
940,Pahari,Rao
941,Thangamani,Pratap
942,Lata,Maurya
943,Simant,Pratap
944,Samser,Pratap
945,Kapur,Pandey
946,Nagaveni,Singh
947,Sowjanya,Divedi
948,Premjit,Srivastav
949,Chitrali,Seth
950,Jega,Srivastav
951,Jalpa,Rajput
952,Shubhi,Gupta
953,Jayita,Seth
954,Chandrakanta,Rajput
955,Anjita,Singh
956,Manali,Gupta
957,Akhand,Seth
958,Bachchan,Thakur
959,Kalu,Ram Rai
960,Narain,Pandit
961,Ravishankar,Pratap
962,Mahas,Divedi
963,Leelawati,Rao
964,Ateek,Sonkar
965,Manisha,Kumari Devi
966,Bheem,Singh Pandit
967,Dharmistha,Rai
968,Gagana,Vishwakarma
969,Shova,Rajput
970,Kantu,Sonkar
971,Tajpal,Vishwakarma
972,Yogitha,Rajput
973,Koustav,Thakur
974,Pratima,Thakur
975,Harshi,Gupta
976,Maahi,Vishwakarma
977,Monisa,Seth
978,Sangtei,Mishra
979,Sukhadev,Srivastav
980,Remruati,Rajput
981,Pranoy,Maurya
982,Subrahmanyam,Kumar
983,Aswin,Tiwari
984,Irfana,Vishwakarma
985,Swrang,Pratap
986,Gunja,Kumari
987,Sahejad,Tiwari
988,Nigam,Vishwakarma
989,Parveen,Kumar Maurrya
990,Nekram,Singh
991,Navaz,Sonkar
992,Priyansi,Divedi
993,Chandrakin,Singh
994,Mrudula,Tiwari
995,Judhistir,Pratap
996,Brijnandan,Srivastav
997,Ashadul,Singh
998,Trisha,Srivastav
999,Champa,Kumar
1000,Chandramaadhav,Divedi
