Customer_ID,Customer_Name,Contact_Number,Email,City,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Years,Application_Date,Approval_Date,Disbursement_Date,Repayment_Status,Remarks
28,Saroj Tiwari,03220685587,zaid37@example.net,Rajpur Sonarpur,Gold Loan,612000,9.0,1,2025-01-05,2025-01-06,2025-01-09,Overdue,Sent reminder notice
29,Nivedita Seth,1294376846,jonathanchandran@example.com,Srinagar,Commercial Vehicle Loan,592000,10.5,4,2024-09-06,2024-09-14,2024-09-16,Overdue,Account under review
30,Manisha Kumari Rao,07682016753,hitesh48@example.org,Kishanganj,Personal Loan,531000,14.0,5,2021-05-11,2021-05-23,2021-05-25,Overdue,Sent reminder notice
31,Rittik Kumar,00733488737,edwinoliver@example.com,Loni,Small Business Loan,919000,12.0,1,2020-07-26,2020-08-06,2020-08-12,Closed,
32,Zaara Vishwakarma,+910862540325,nmaster@example.org,Munger,Small Business Loan,151000,12.0,3,2021-10-14,2021-10-20,2021-10-23,Overdue,Missed last payment
33,Kajim Pratap,+917379203978,chaitalygara@example.com,Patna,Small Business Loan,513000,12.0,1,2020-06-28,2020-06-28,2020-06-29,Overdue,Sent reminder notice
34,Jeevitha Rai,05248106520,peter28@example.org,Bardhaman,Gold Loan,530000,9.0,5,2021-06-19,2021-07-03,2021-07-05,Current,
35,Deepshikha Divedi,09417498253,ayaansandhu@example.com,Madhyamgram,Gold Loan,637000,9.0,1,2020-03-13,2020-03-15,2020-03-15,Closed,
36,Darshan Yadav,6722757826,xshanker@example.com,Muzaffarnagar,Gold Loan,937000,9.0,4,2024-03-11,2024-03-24,2024-03-26,Overdue,Account under review
37,Binati Yadav,6736257781,wramaswamy@example.net,Madhyamgram,Small Business Loan,360000,12.0,5,2020-02-10,2020-02-12,2020-02-13,Closed,
38,Hasini Kumari,7203879662,xiti36@example.org,Buxar,Personal Loan,740000,14.0,5,2022-06-20,2022-06-25,2022-06-30,Closed,
39,Mradul Srivastav,+910155396801,hemal35@example.org,Bidar,Commercial Vehicle Loan,782000,10.5,3,2023-12-20,2023-12-26,2023-12-29,Current,
40,রাজু Thakur,05488856947,zansi54@example.org,Tiruvottiyur,Gold Loan,978000,9.0,1,2024-04-23,2024-05-01,2024-05-04,Overdue,Missed last payment
41,Hare Krishna Rai,0593253338,vamakshidey@example.net,Guna,Commercial Vehicle Loan,875000,10.5,4,2023-01-14,2023-01-28,2023-01-31,Closed,
42,नितीन Tiwari,01534810993,uchhabra@example.org,Vellore,Commercial Vehicle Loan,145000,10.5,3,2022-06-03,2022-06-17,2022-06-17,Closed,
43,Banshilal Tiwari,+912468473839,bedidhriti@example.net,Karimnagar,Personal Loan,646000,14.0,4,2024-06-16,2024-06-30,2024-07-03,Overdue,Sent reminder notice
44,Chitrangada Mishra,7261600514,simon12@example.net,Orai,Personal Loan,806000,14.0,3,2022-06-14,2022-06-18,2022-06-24,Current,
45,Ahilya Srivastav,+914930166845,chakrabortyindrajit@example.org,Karawal Nagar,Gold Loan,299000,9.0,5,2020-11-23,2020-12-07,2020-12-12,Current,
46,Pyari Gupta,4606126013,jsama@example.com,Gandhidham,Gold Loan,918000,9.0,5,2023-06-13,2023-06-26,2023-06-29,Current,
47,Shyamali Rai,+910886260938,idyal@example.net,Loni,Commercial Vehicle Loan,928000,10.5,2,2023-08-04,2023-08-14,2023-08-16,Overdue,Sent reminder notice
48,Brijnandan Rai,+916654456722,ujayaraman@example.org,Mathura,Gold Loan,598000,9.0,1,2022-10-04,2022-10-13,2022-10-18,Closed,
49,Yameen Pratap,2608677265,mkannan@example.net,Kavali,Gold Loan,212000,9.0,3,2020-09-24,2020-09-27,2020-10-02,Closed,
50,Banavath Rajput,7813983653,amoldeshpande@example.com,Bhimavaram,Personal Loan,207000,14.0,2,2020-07-12,2020-07-22,2020-07-22,Closed,
51,Mamita Rao,00928501454,isibal@example.org,Tenali,Gold Loan,466000,9.0,4,2020-10-08,2020-10-13,2020-10-16,Current,
52,Amjid Seth,+913514067571,banjeetray@example.net,Gaya,Small Business Loan,563000,12.0,5,2023-05-02,2023-05-03,2023-05-06,Closed,
53,Sumpi Pandey,+914888300967,arorasneha@example.net,Varanasi,Gold Loan,397000,9.0,3,2024-06-30,2024-07-05,2024-07-10,Overdue,Missed last payment
54,Aayu Thakur,08779207503,lavanyabarman@example.org,Kamarhati,Personal Loan,926000,14.0,5,2020-11-02,2020-11-06,2020-11-11,Closed,
55,Navi Vishwakarma,5192874424,xramesh@example.org,Malegaon,Small Business Loan,766000,12.0,3,2023-07-05,2023-07-11,2023-07-14,Overdue,Account under review
56,Padhu Kumari,08377327698,maggarwal@example.org,Sambalpur,Personal Loan,537000,14.0,5,2021-07-17,2021-07-20,2021-07-23,Closed,
57,Vrijesh Yadav,09858809824,zashilsharaf@example.com,Purnia,Small Business Loan,981000,12.0,5,2020-12-21,2020-12-27,2020-12-30,Current,
58,Shiv Pratap Rao,08853554603,vanya87@example.net,Phagwara,Commercial Vehicle Loan,256000,10.5,5,2023-05-21,2023-05-27,2023-05-31,Closed,
59,गोविन्द Tiwari,+911295084451,cgade@example.org,Secunderabad,Gold Loan,552000,9.0,4,2023-04-17,2023-04-28,2023-05-01,Closed,
60,Yogita Vishwakarma,+913857822509,sarabakshi@example.net,Shimoga,Commercial Vehicle Loan,923000,10.5,2,2022-03-12,2022-03-26,2022-03-28,Closed,
61,Amee Maurya,05474731130,shivanshgrewal@example.net,Amroha,Personal Loan,688000,14.0,5,2020-08-07,2020-08-15,2020-08-18,Current,
62,Lavina Tiwari,07463737255,vanshavora@example.org,Firozabad,Commercial Vehicle Loan,230000,10.5,4,2020-11-02,2020-11-16,2020-11-18,Overdue,Sent reminder notice
63,Varada Yadav,9056161409,routbhavini@example.org,Morena,Personal Loan,916000,14.0,3,2021-04-21,2021-04-23,2021-04-27,Current,
64,Bimala Tiwari,5135698568,nradhakrishnan@example.com,Bhimavaram,Personal Loan,977000,14.0,3,2024-08-25,2024-08-25,2024-08-30,Closed,
65,Indrjeet Maurrya,7513499486,parthvohra@example.org,Jehanabad,Personal Loan,189000,14.0,1,2024-12-17,2024-12-27,2024-12-28,Closed,
66,रितेश Rao,7925981723,kamdarmohammed@example.org,Bettiah,Gold Loan,796000,9.0,3,2024-11-08,2024-11-14,2024-11-18,Closed,
67,Hafijul Thakur,+910994895532,lbehl@example.net,Warangal,Personal Loan,250000,14.0,3,2022-11-18,2022-11-29,2022-12-01,Closed,
68,Bhavika Mishra,4787728362,kai03@example.com,Haldia,Commercial Vehicle Loan,304000,10.5,4,2023-03-28,2023-04-06,2023-04-06,Overdue,Sent reminder notice
69,Aarti Seth,+918159916441,hdey@example.com,Anand,Personal Loan,421000,14.0,4,2021-03-13,2021-03-17,2021-03-20,Overdue,Account under review
70,Sheeba Thakur,02697412502,bainsvictor@example.net,Bongaigaon,Gold Loan,797000,9.0,3,2023-07-27,2023-08-09,2023-08-15,Overdue,Sent reminder notice
71,Manoj Sharma Rai,+915000072440,viraj56@example.net,Nangloi Jat,Gold Loan,352000,9.0,2,2022-12-01,2022-12-01,2022-12-05,Current,
72,Maniraj Vishwakarma,03443448386,ygill@example.org,Amaravati,Personal Loan,703000,14.0,1,2022-08-22,2022-08-30,2022-09-02,Overdue,Missed last payment
73,Nirogi Pandey,+916558545254,mkalla@example.net,Kamarhati,Small Business Loan,873000,12.0,1,2021-09-26,2021-10-07,2021-10-12,Current,
74,Nomita Mishra,+918566718986,psaha@example.org,Madurai,Commercial Vehicle Loan,956000,10.5,2,2023-05-02,2023-05-04,2023-05-05,Current,
75,Zaiba Divedi,3583793045,wishi57@example.org,Narasaraopet,Small Business Loan,496000,12.0,2,2024-10-24,2024-10-30,2024-11-02,Current,
76,Sahab Sonkar,+915507120118,agarwalowen@example.net,Jalandhar,Commercial Vehicle Loan,569000,10.5,5,2024-01-12,2024-01-12,2024-01-16,Closed,
77,Aashiya Singh,8789574459,zkrishna@example.org,Hyderabad,Commercial Vehicle Loan,496000,10.5,2,2021-11-14,2021-11-27,2021-11-27,Overdue,Account under review
78,Vaidehi Maurya,+913590520932,sarnamanya@example.com,Jammu,Commercial Vehicle Loan,392000,10.5,4,2023-07-22,2023-07-22,2023-07-22,Current,
79,Bhagya Divedi,+917116611988,ekaja49@example.net,Nadiad,Commercial Vehicle Loan,320000,10.5,4,2020-01-27,2020-02-03,2020-02-09,Overdue,Missed last payment
80,Kokil Srivastav,6800459804,nandamax@example.net,Gurgaon,Personal Loan,951000,14.0,1,2022-03-07,2022-03-13,2022-03-13,Overdue,Missed last payment
81,Pramila Sonkar,00944162515,yoshita47@example.org,Rewa,Commercial Vehicle Loan,686000,10.5,5,2020-04-21,2020-04-29,2020-05-01,Overdue,Sent reminder notice
82,Anjli Rao,03733028316,dashwarinder@example.org,Bhagalpur,Small Business Loan,241000,12.0,4,2020-09-01,2020-09-11,2020-09-17,Closed,
83,Ajmal Pratap,5781822931,zarna35@example.org,Ulhasnagar,Personal Loan,272000,14.0,2,2024-08-28,2024-08-28,2024-08-31,Overdue,Account under review
84,Kola Yadav,04186790067,krishna56@example.net,Ambattur,Personal Loan,562000,14.0,3,2021-10-29,2021-11-10,2021-11-10,Overdue,Sent reminder notice
85,Mayna Pandey,04801960213,nidra59@example.net,Kamarhati,Commercial Vehicle Loan,884000,10.5,2,2022-03-06,2022-03-07,2022-03-12,Current,
86,Shivanya Kumari,07733662707,ksinha@example.net,Bhalswa Jahangir Pur,Small Business Loan,195000,12.0,4,2024-02-24,2024-03-02,2024-03-03,Closed,
87,Jabeen Divedi,1374195940,rayaan08@example.com,Tiruchirappalli,Personal Loan,700000,14.0,3,2021-10-19,2021-10-29,2021-10-30,Closed,
88,Kisu Thakur,4178667799,fitan07@example.net,Khandwa,Gold Loan,158000,9.0,5,2020-10-03,2020-10-05,2020-10-08,Current,
89,Raj Deep Rao,1614688649,kaulyashasvi@example.com,Dhanbad,Personal Loan,735000,14.0,1,2021-04-07,2021-04-18,2021-04-22,Overdue,Account under review
90,Shifa Thakur,00055709083,wriddhishdixit@example.net,Danapur,Commercial Vehicle Loan,933000,10.5,1,2022-05-28,2022-06-01,2022-06-03,Overdue,Missed last payment
91,Sarala Mishra,05264772970,bhavsarkiaan@example.net,Eluru,Commercial Vehicle Loan,565000,10.5,4,2020-11-26,2020-12-06,2020-12-10,Overdue,Sent reminder notice
92,Satyaki Kumar,+916617609217,vperi@example.net,Amritsar,Commercial Vehicle Loan,793000,10.5,1,2024-08-11,2024-08-20,2024-08-20,Overdue,Sent reminder notice
93,Siyan Divedi,4116450777,oniswaminathan@example.org,Kishanganj,Commercial Vehicle Loan,821000,10.5,3,2024-07-01,2024-07-04,2024-07-06,Current,
94,Niva Divedi,3252390714,mlanka@example.org,Machilipatnam,Personal Loan,715000,14.0,2,2020-08-20,2020-08-29,2020-09-03,Current,
95,Aish Tiwari,+912159998969,jonathan10@example.org,Ujjain,Small Business Loan,983000,12.0,4,2020-08-10,2020-08-15,2020-08-15,Closed,
96,Ashalata Vishwakarma,2663375605,pprashad@example.org,Noida,Gold Loan,731000,9.0,1,2020-03-28,2020-03-28,2020-03-31,Current,
97,Rasna Rajput,+915451859563,jeetbera@example.net,Mango,Gold Loan,498000,9.0,4,2020-12-10,2020-12-14,2020-12-14,Current,
98,Lakshmi Vishwakarma,05062258041,udyatidugar@example.net,Chinsurah,Gold Loan,438000,9.0,4,2020-02-18,2020-02-24,2020-02-27,Current,
99,Bharani Yadav,07036927003,farhan18@example.net,Darbhanga,Small Business Loan,360000,12.0,4,2023-09-29,2023-10-06,2023-10-08,Closed,
100,Prantik Srivastav,1817080578,raagini54@example.org,Gandhidham,Commercial Vehicle Loan,766000,10.5,2,2023-04-21,2023-04-21,2023-04-21,Current,
101,Nageena Yadav,03287775970,jchana@example.com,Madanapalle,Personal Loan,476000,14.0,3,2021-08-26,2021-09-08,2021-09-09,Overdue,Account under review
102,Zaffer Pratap,+911172918917,rattidaniel@example.com,Jaipur,Small Business Loan,949000,12.0,3,2020-03-03,2020-03-13,2020-03-13,Closed,
103,Nitumoni Srivastav,06162450791,matthew91@example.com,Ahmedabad,Small Business Loan,409000,12.0,5,2024-10-20,2024-10-20,2024-10-21,Overdue,Sent reminder notice
104,Afrin Rajput,+912216058673,nihal97@example.net,Ambarnath,Gold Loan,863000,9.0,3,2020-05-02,2020-05-08,2020-05-09,Current,
105,Minoti Rajput,03605723744,chandreshsani@example.com,Unnao,Small Business Loan,715000,12.0,4,2020-03-25,2020-03-31,2020-04-05,Closed,
106,Kalmesh Yadav,9869466975,bhardwajaashi@example.net,Bhind,Gold Loan,916000,9.0,3,2021-02-02,2021-02-07,2021-02-07,Current,
107,Korim Gupta,09559816311,ishita74@example.com,Siwan,Commercial Vehicle Loan,892000,10.5,1,2022-07-23,2022-08-03,2022-08-04,Current,
108,Gajaadhar Srivastav,+914377204768,falakhari@example.org,Alwar,Small Business Loan,520000,12.0,1,2024-09-26,2024-10-04,2024-10-10,Closed,
109,Gopal Krishna Singh,06880556535,sanayasood@example.org,Srikakulam,Gold Loan,507000,9.0,5,2024-06-05,2024-06-14,2024-06-16,Current,
110,Shashwat Rajput,+917496733812,jason66@example.com,Rourkela,Gold Loan,504000,9.0,5,2024-01-21,2024-01-27,2024-01-27,Closed,
111,Saif Ali Divedi,09471197333,vjohal@example.org,Giridih,Personal Loan,152000,14.0,3,2021-12-22,2022-01-04,2022-01-09,Overdue,Account under review
112,Chaitu Rao,2135028422,bahadurjit99@example.org,Bihar Sharif,Small Business Loan,234000,12.0,4,2023-01-24,2023-01-29,2023-02-03,Closed,
113,Premanand Rai,5745387217,esarna@example.net,Suryapet,Personal Loan,880000,14.0,5,2021-03-11,2021-03-22,2021-03-28,Closed,
114,Arindom Vishwakarma,03811201490,rsura@example.com,Mumbai,Commercial Vehicle Loan,923000,10.5,2,2024-05-16,2024-05-28,2024-05-30,Closed,
115,Bhavisha Thakur,09345292660,wallayachana@example.net,Tiruchirappalli,Gold Loan,980000,9.0,3,2022-05-11,2022-05-22,2022-05-25,Current,
116,Rajeswari Tiwari,8456811533,gauriravi@example.org,Anantapur,Gold Loan,482000,9.0,4,2023-03-20,2023-04-02,2023-04-07,Closed,
117,Narmada Vishwakarma,+919075898020,tsama@example.org,Hindupur,Gold Loan,347000,9.0,3,2024-02-23,2024-02-29,2024-03-03,Closed,
118,Harisankar Mishra,02770928750,anamikacontractor@example.org,Mangalore,Commercial Vehicle Loan,780000,10.5,3,2023-10-06,2023-10-15,2023-10-17,Current,
119,Loku Singh,+911739760297,yadavi79@example.net,Mehsana,Gold Loan,891000,9.0,5,2023-02-25,2023-03-11,2023-03-14,Current,
120,Latika Rajput,03690014758,fariqkale@example.net,Asansol,Gold Loan,648000,9.0,3,2021-09-07,2021-09-08,2021-09-10,Closed,
121,Kamod Sonkar,03542864834,isura@example.net,Ludhiana,Personal Loan,609000,14.0,3,2021-01-19,2021-01-23,2021-01-26,Current,
122,Sumiya Yadav,1317268784,vaidyaranbir@example.org,Srinagar,Gold Loan,449000,9.0,1,2023-01-14,2023-01-18,2023-01-24,Closed,
123,Anandita Srivastav,+916501608581,vcomar@example.net,Thrissur,Personal Loan,716000,14.0,5,2023-10-31,2023-11-05,2023-11-05,Closed,
124,Sireesha Maurya,8730023350,dseth@example.org,Varanasi,Personal Loan,194000,14.0,2,2020-08-23,2020-09-04,2020-09-06,Overdue,Account under review
125,Pachu Singh,00025687959,isha11@example.org,Kozhikode,Commercial Vehicle Loan,542000,10.5,5,2020-03-15,2020-03-29,2020-04-04,Closed,
126,Kanhai Pratap,09775061931,harsh58@example.com,Raipur,Commercial Vehicle Loan,642000,10.5,2,2024-07-20,2024-08-02,2024-08-04,Closed,
127,Arya Devi,08820274712,amara10@example.com,Firozabad,Gold Loan,683000,9.0,1,2021-08-03,2021-08-15,2021-08-19,Overdue,Account under review
128,Tanisa Mishra,7436868542,thakkarshivansh@example.net,Nandyal,Small Business Loan,571000,12.0,2,2020-08-31,2020-09-08,2020-09-11,Current,
129,Sanchita Seth,5656172993,daninirja@example.org,Bilaspur,Personal Loan,697000,14.0,5,2023-10-20,2023-10-22,2023-10-28,Closed,
130,H K Pratap,+914341032291,vchatterjee@example.net,Katni,Small Business Loan,866000,12.0,1,2020-07-17,2020-07-23,2020-07-24,Closed,
131,Adesh Kumar Thakur,09135056881,kkanda@example.org,Tinsukia,Small Business Loan,594000,12.0,1,2021-10-30,2021-11-12,2021-11-18,Closed,
132,Urmi Thakur,0791802766,chawlazayyan@example.net,Sambhal,Small Business Loan,523000,12.0,2,2021-05-21,2021-05-26,2021-05-30,Current,
133,Sabeer Tiwari,09661709460,ladjagdish@example.org,Ujjain,Gold Loan,271000,9.0,4,2024-02-05,2024-02-15,2024-02-19,Overdue,Sent reminder notice
134,Mausumi Tiwari,0947528606,routaditya@example.org,Gurgaon,Small Business Loan,751000,12.0,1,2020-01-15,2020-01-15,2020-01-17,Closed,
135,Allarakha Maurrya,+910867189936,chans@example.org,Akola,Small Business Loan,157000,12.0,4,2023-07-02,2023-07-13,2023-07-15,Overdue,Sent reminder notice
136,Maynk Rai,06690518587,buchurishilla@example.com,Raebareli,Personal Loan,365000,14.0,2,2024-10-21,2024-10-24,2024-10-29,Closed,
137,Lipi Seth,+913041767767,opau@example.net,Kirari Suleman Nagar,Commercial Vehicle Loan,192000,10.5,2,2020-10-23,2020-10-23,2020-10-28,Closed,
138,Afsheen Yadav,+914924329829,ayushman86@example.net,Fatehpur,Small Business Loan,784000,12.0,5,2021-10-21,2021-10-28,2021-10-28,Current,
139,Aruhi Rajput,3715876300,unnati84@example.net,Jehanabad,Gold Loan,203000,9.0,2,2023-10-03,2023-10-05,2023-10-06,Overdue,Missed last payment
140,Hima Rao,07445350446,murthykashvi@example.org,Malegaon,Gold Loan,218000,9.0,5,2020-02-19,2020-03-02,2020-03-05,Overdue,Missed last payment
141,Durgesh Singh,03867671014,libniagarwal@example.com,Srikakulam,Commercial Vehicle Loan,558000,10.5,2,2024-09-28,2024-10-05,2024-10-10,Closed,
142,Virendra Pandit,+917369685171,joshuapal@example.com,Jaipur,Gold Loan,128000,9.0,1,2020-02-04,2020-02-12,2020-02-13,Overdue,Account under review
143,Gayasuddin Maurrya,08754181288,lchana@example.com,Kochi,Commercial Vehicle Loan,396000,10.5,3,2021-05-17,2021-05-31,2021-06-01,Current,
144,Akber Srivastav,02563437930,edhitha21@example.com,Bihar Sharif,Personal Loan,397000,14.0,5,2023-01-05,2023-01-08,2023-01-09,Overdue,Sent reminder notice
145,Musarrat Rai,+918889502062,samesh99@example.com,Alappuzha,Personal Loan,795000,14.0,4,2020-10-23,2020-10-24,2020-10-26,Current,
146,बिजय Pratap,+914535483667,kakarwaida@example.org,Gorakhpur,Gold Loan,623000,9.0,5,2020-01-28,2020-02-10,2020-02-15,Current,
147,Vipasha Rai,+915446875866,keyaoza@example.com,Faridabad,Small Business Loan,506000,12.0,5,2022-06-01,2022-06-07,2022-06-10,Current,
148,Banna Rajput,7091473415,champak85@example.net,Howrah,Personal Loan,481000,14.0,2,2022-05-22,2022-06-05,2022-06-08,Closed,
149,Sasikala Thakur,8814294874,xalaksura@example.net,Chandigarh,Commercial Vehicle Loan,204000,10.5,1,2022-09-06,2022-09-06,2022-09-06,Overdue,Account under review
150,Pratyasha Singh,+911108463979,dbadal@example.net,Tiruvottiyur,Personal Loan,428000,14.0,5,2020-08-16,2020-08-26,2020-08-27,Overdue,Account under review
151,Madhvi Pandey,4571307322,ekanta91@example.org,Jamnagar,Commercial Vehicle Loan,246000,10.5,2,2023-06-27,2023-07-10,2023-07-12,Current,
152,Dore Singh,+914008763145,echoudhary@example.org,Guna,Gold Loan,609000,9.0,1,2020-08-29,2020-08-29,2020-09-03,Current,
153,Mounika Devi,+914886511661,sampatharjun@example.org,Srikakulam,Gold Loan,619000,9.0,5,2021-03-27,2021-04-04,2021-04-06,Closed,
154,Nasir Divedi,04237643334,daslavanya@example.net,Proddatur,Personal Loan,626000,14.0,5,2020-11-02,2020-11-06,2020-11-11,Closed,
155,मुकेश Pratap,08152947372,pahalkade@example.net,Morena,Small Business Loan,224000,12.0,5,2023-01-03,2023-01-15,2023-01-21,Current,
156,वैशाली Vishwakarma,07916218004,bsama@example.org,Panihati,Gold Loan,500000,9.0,5,2024-08-22,2024-08-29,2024-08-29,Closed,
157,Maju Yadav,1258667764,natarajankalpit@example.net,Chapra,Personal Loan,948000,14.0,4,2024-08-27,2024-08-31,2024-09-04,Current,
158,Jinu Gupta,+912023124169,zgupta@example.org,Asansol,Commercial Vehicle Loan,130000,10.5,1,2023-06-27,2023-07-01,2023-07-07,Overdue,Account under review
159,Aadidev Yadav,09990493400,bhavani16@example.net,Bhimavaram,Gold Loan,502000,9.0,1,2023-03-06,2023-03-07,2023-03-07,Current,
160,Aagam Kumari,+910052743602,naidureyansh@example.net,Raichur,Personal Loan,952000,14.0,4,2020-10-24,2020-10-28,2020-10-29,Overdue,Missed last payment
161,Santosh Yadav Rajput,9858997819,proy@example.net,Siliguri,Commercial Vehicle Loan,214000,10.5,4,2022-09-02,2022-09-13,2022-09-13,Overdue,Missed last payment
162,Anay Gupta,01722302419,sridharkrishna@example.com,Ghaziabad,Small Business Loan,837000,12.0,4,2022-01-12,2022-01-21,2022-01-21,Closed,
163,Siba Sankar Sonkar,+916037026240,ganeshvaishnavi@example.org,Kavali,Gold Loan,532000,9.0,4,2023-08-14,2023-08-27,2023-08-28,Closed,
164,Mujju Thakur,7578035371,radhikapatla@example.org,Howrah,Commercial Vehicle Loan,300000,10.5,1,2024-04-17,2024-04-30,2024-05-02,Closed,
165,P Kumar Maurrya,1807985696,urvashichoudhary@example.net,Coimbatore,Small Business Loan,347000,12.0,2,2021-12-23,2022-01-05,2022-01-10,Overdue,Missed last payment
166,Kumkum Tiwari,+915444402857,qdixit@example.net,Ghaziabad,Gold Loan,139000,9.0,2,2023-07-28,2023-08-10,2023-08-16,Overdue,Account under review
167,Utkarsha Pandey,03381041932,aarnavsengupta@example.org,Arrah,Personal Loan,601000,14.0,2,2022-11-01,2022-11-01,2022-11-05,Current,
168,Pruthviraj Pratap,3282133251,frederickdeshmukh@example.com,Bokaro,Gold Loan,186000,9.0,3,2022-05-30,2022-06-11,2022-06-15,Overdue,Missed last payment
169,Shridhar Seth,+911767289490,nakul52@example.org,Siwan,Gold Loan,777000,9.0,2,2020-12-13,2020-12-23,2020-12-23,Overdue,Account under review
170,Vaghasiya Rao,6815663555,ishwar24@example.org,Saharsa,Commercial Vehicle Loan,996000,10.5,1,2022-04-25,2022-05-03,2022-05-04,Closed,
171,Kotha Divedi,1224434442,nilimachanda@example.net,Nagpur,Commercial Vehicle Loan,245000,10.5,5,2023-03-23,2023-03-31,2023-03-31,Overdue,Account under review
172,Sanjivni Rajput,+919489355628,purohitsamarth@example.com,Katni,Commercial Vehicle Loan,358000,10.5,3,2024-07-18,2024-07-22,2024-07-28,Current,
173,Jayalaksmi Singh,04782967898,wablepooja@example.com,Bokaro,Commercial Vehicle Loan,733000,10.5,1,2023-07-03,2023-07-09,2023-07-15,Overdue,Account under review
174,Yugal Kumar,8174469831,hdeshmukh@example.org,Jehanabad,Commercial Vehicle Loan,897000,10.5,2,2020-07-22,2020-07-31,2020-07-31,Closed,
